sgRNA	gene
HGLibA_00001	A1BG
HGLibA_00002	A1BG
HGLibA_00003	A1BG
HGLibA_00004	A1CF
HGLibA_00005	A1CF
HGLibA_00006	A1CF
HGLibA_00007	A2M
HGLibA_00008	A2M
HGLibA_00009	A2M
HGLibA_00010	A2ML1
HGLibA_00011	A2ML1
HGLibA_00012	A2ML1
HGLibA_00013	A3GALT2
HGLibA_00014	A3GALT2
HGLibA_00015	A3GALT2
HGLibA_00016	A4GALT
HGLibA_00017	A4GALT
HGLibA_00018	A4GALT
HGLibA_00019	A4GNT
HGLibA_00020	A4GNT
HGLibA_00021	A4GNT
HGLibA_00022	AAAS
HGLibA_00023	AAAS
HGLibA_00024	AAAS
HGLibA_00025	AACS
HGLibA_00026	AACS
HGLibA_00027	AACS
HGLibA_00028	AADAC
HGLibA_00029	AADAC
HGLibA_00030	AADAC
HGLibA_00031	AADACL2
HGLibA_00032	AADACL2
HGLibA_00033	AADACL2
HGLibA_00034	AADACL3
HGLibA_00035	AADACL3
HGLibA_00036	AADACL3
HGLibA_00037	AADACL4
HGLibA_00038	AADACL4
HGLibA_00039	AADACL4
HGLibA_00040	AADAT
HGLibA_00041	AADAT
HGLibA_00042	AADAT
HGLibA_00043	AAED1
HGLibA_00044	AAED1
HGLibA_00045	AAED1
HGLibA_00046	AAGAB
HGLibA_00047	AAGAB
HGLibA_00048	AAGAB
HGLibA_00049	AAK1
HGLibA_00050	AAK1
HGLibA_00051	AAK1
HGLibA_00052	AAMDC
HGLibA_00053	AAMDC
HGLibA_00054	AAMDC
HGLibA_00055	AAMP
HGLibA_00056	AAMP
HGLibA_00057	AAMP
HGLibA_00058	AANAT
HGLibA_00059	AANAT
HGLibA_00060	AANAT
HGLibA_00061	AAR2
HGLibA_00062	AAR2
HGLibA_00063	AAR2
HGLibA_00064	AARD
HGLibA_00065	AARD
HGLibA_00066	AARD
HGLibA_00067	AARS
HGLibA_00068	AARS
HGLibA_00069	AARS
HGLibA_00070	AARS2
HGLibA_00071	AARS2
HGLibA_00072	AARS2
HGLibA_00073	AARSD1
HGLibA_00074	AARSD1
HGLibA_00075	AARSD1
HGLibA_00076	AASDH
HGLibA_00077	AASDH
HGLibA_00078	AASDH
HGLibA_00079	AASDHPPT
HGLibA_00080	AASDHPPT
HGLibA_00081	AASDHPPT
HGLibA_00082	AASS
HGLibA_00083	AASS
HGLibA_00084	AASS
HGLibA_00085	AATF
HGLibA_00086	AATF
HGLibA_00087	AATF
HGLibA_00088	AATK
HGLibA_00089	AATK
HGLibA_00090	AATK
HGLibA_00091	ABAT
HGLibA_00092	ABAT
HGLibA_00093	ABAT
HGLibA_00094	ABCA1
HGLibA_00095	ABCA1
HGLibA_00096	ABCA1
HGLibA_00097	ABCA10
HGLibA_00098	ABCA10
HGLibA_00099	ABCA10
HGLibA_00100	ABCA12
HGLibA_00101	ABCA12
HGLibA_00102	ABCA12
HGLibA_00103	ABCA13
HGLibA_00104	ABCA13
HGLibA_00105	ABCA13
HGLibA_00106	ABCA2
HGLibA_00107	ABCA2
HGLibA_00108	ABCA2
HGLibA_00109	ABCA3
HGLibA_00110	ABCA3
HGLibA_00111	ABCA3
HGLibA_00112	ABCA4
HGLibA_00113	ABCA4
HGLibA_00114	ABCA4
HGLibA_00115	ABCA5
HGLibA_00116	ABCA5
HGLibA_00117	ABCA5
HGLibA_00118	ABCA6
HGLibA_00119	ABCA6
HGLibA_00120	ABCA6
HGLibA_00121	ABCA7
HGLibA_00122	ABCA7
HGLibA_00123	ABCA7
HGLibA_00124	ABCA8
HGLibA_00125	ABCA8
HGLibA_00126	ABCA8
HGLibA_00127	ABCA9
HGLibA_00128	ABCA9
HGLibA_00129	ABCA9
HGLibA_00130	ABCB1
HGLibA_00131	ABCB1
HGLibA_00132	ABCB1
HGLibA_00133	ABCB10
HGLibA_00134	ABCB10
HGLibA_00135	ABCB10
HGLibA_00136	ABCB11
HGLibA_00137	ABCB11
HGLibA_00138	ABCB11
HGLibA_00139	ABCB4
HGLibA_00140	ABCB4
